Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"TP","Crops and livestock products","5000","World","5610","Import Quantity","486","Bananas","1996","1996","tonnes","13596262","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"TP","Crops and livestock products","5000","World","5610","Import Quantity","486","Bananas","1997","1997","tonnes","13565861","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"TP","Crops and livestock products","5000","World","5610","Import Quantity","486","Bananas","1998","1998","tonnes","13268386","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"TP","Crops and livestock products","5000","World","5610","Import Quantity","486","Bananas","1999","1999","tonnes","14041180","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"TP","Crops and livestock products","5000","World","5610","Import Quantity","486","Bananas","2000","2000","tonnes","14435901","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"TP","Crops and livestock products","5000","World","5610","Import Quantity","486","Bananas","2001","2001","tonnes","13640754","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"TP","Crops and livestock products","5000","World","5610","Import Quantity","486","Bananas","2002","2002","tonnes","13901526","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"TP","Crops and livestock products","5000","World","5610","Import Quantity","486","Bananas","2003","2003","tonnes","14699912","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"TP","Crops and livestock products","5000","World","5610","Import Quantity","486","Bananas","2004","2004","tonnes","15089589","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"TP","Crops and livestock products","5000","World","5610","Import Quantity","486","Bananas","2005","2005","tonnes","15425998","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"TP","Crops and livestock products","5000","World","5610","Import Quantity","486","Bananas","2006","2006","tonnes","16413192","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"TP","Crops and livestock products","5000","World","5610","Import Quantity","486","Bananas","2007","2007","tonnes","17223596","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"TP","Crops and livestock products","5000","World","5610","Import Quantity","486","Bananas","2008","2008","tonnes","17618104","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"TP","Crops and livestock products","5000","World","5610","Import Quantity","486","Bananas","2009","2009","tonnes","17234619","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"TP","Crops and livestock products","5000","World","5610","Import Quantity","486","Bananas","2010","2010","tonnes","17933961","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"TP","Crops and livestock products","5000","World","5610","Import Quantity","486","Bananas","2011","2011","tonnes","18720741","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"TP","Crops and livestock products","5000","World","5610","Import Quantity","486","Bananas","2012","2012","tonnes","18313664","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"TP","Crops and livestock products","5000","World","5610","Import Quantity","486","Bananas","2013","2013","tonnes","19664242","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"TP","Crops and livestock products","5000","World","5610","Import Quantity","486","Bananas","2014","2014","tonnes","20067268","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"TP","Crops and livestock products","5000","World","5610","Import Quantity","486","Bananas","2015","2015","tonnes","20379221","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"TP","Crops and livestock products","5000","World","5610","Import Quantity","486","Bananas","2016","2016","tonnes","20306427","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"TP","Crops and livestock products","5000","World","5610","Import Quantity","486","Bananas","2017","2017","tonnes","22163735","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"TP","Crops and livestock products","5000","World","5610","Import Quantity","661","Cocoa, beans","1961","1961","tonnes","1023190","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"TP","Crops and livestock products","5000","World","5610","Import Quantity","661","Cocoa, beans","1962","1962","tonnes","1072356","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"TP","Crops and livestock products","5000","World","5610","Import Quantity","661","Cocoa, beans","1963","1963","tonnes","1058085","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"TP","Crops and livestock products","5000","World","5610","Import Quantity","661","Cocoa, beans","1964","1964","tonnes","1047531","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"TP","Crops and livestock products","5000","World","5610","Import Quantity","661","Cocoa, beans","1965","1965","tonnes","1237742","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"TP","Crops and livestock products","5000","World","5610","Import Quantity","661","Cocoa, beans","1966","1966","tonnes","1244753","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"TP","Crops and livestock products","5000","World","5610","Import Quantity","661","Cocoa, beans","1967","1967","tonnes","1103884","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"TP","Crops and livestock products","5000","World","5610","Import Quantity","661","Cocoa, beans","1968","1968","tonnes","1107444","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"TP","Crops and livestock products","5000","World","5610","Import Quantity","661","Cocoa, beans","1969","1969","tonnes","1044623","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"TP","Crops and livestock products","5000","World","5610","Import Quantity","661","Cocoa, beans","1970","1970","tonnes","1118755","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"TP","Crops and livestock products","5000","World","5610","Import Quantity","661","Cocoa, beans","1971","1971","tonnes","1238735","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"TP","Crops and livestock products","5000","World","5610","Import Quantity","661","Cocoa, beans","1972","1972","tonnes","1261851","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"TP","Crops and livestock products","5000","World","5610","Import Quantity","661","Cocoa, beans","1973","1973","tonnes","1206525","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"TP","Crops and livestock products","5000","World","5610","Import Quantity","661","Cocoa, beans","1974","1974","tonnes","1158434","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"TP","Crops and livestock products","5000","World","5610","Import Quantity","661","Cocoa, beans","1975","1975","tonnes","1193800","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"TP","Crops and livestock products","5000","World","5610","Import Quantity","661","Cocoa, beans","1976","1976","tonnes","1161115","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"TP","Crops and livestock products","5000","World","5610","Import Quantity","661","Cocoa, beans","1977","1977","tonnes","1007248","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"TP","Crops and livestock products","5000","World","5610","Import Quantity","661","Cocoa, beans","1978","1978","tonnes","1104426","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"TP","Crops and livestock products","5000","World","5610","Import Quantity","661","Cocoa, beans","1979","1979","tonnes","1030757","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"TP","Crops and livestock products","5000","World","5610","Import Quantity","661","Cocoa, beans","1980","1980","tonnes","1070071","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"TP","Crops and livestock products","5000","World","5610","Import Quantity","661","Cocoa, beans","1981","1981","tonnes","1242256","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"TP","Crops and livestock products","5000","World","5610","Import Quantity","661","Cocoa, beans","1982","1982","tonnes","1270521","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"TP","Crops and livestock products","5000","World","5610","Import Quantity","661","Cocoa, beans","1983","1983","tonnes","1261540","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"TP","Crops and livestock products","5000","World","5610","Import Quantity","661","Cocoa, beans","1984","1984","tonnes","1338911","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"TP","Crops and livestock products","5000","World","5610","Import Quantity","661","Cocoa, beans","1985","1985","tonnes","1480445","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"TP","Crops and livestock products","5000","World","5610","Import Quantity","661","Cocoa, beans","1986","1986","tonnes","1412795","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"TP","Crops and livestock products","5000","World","5610","Import Quantity","661","Cocoa, beans","1987","1987","tonnes","1476469","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"TP","Crops and livestock products","5000","World","5610","Import Quantity","661","Cocoa, beans","1988","1988","tonnes","1544370","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"TP","Crops and livestock products","5000","World","5610","Import Quantity","661","Cocoa, beans","1989","1989","tonnes","1659994","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"TP","Crops and livestock products","5000","World","5610","Import Quantity","661","Cocoa, beans","1990","1990","tonnes","1766240","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"TP","Crops and livestock products","5000","World","5610","Import Quantity","661","Cocoa, beans","1991","1991","tonnes","1883409","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"TP","Crops and livestock products","5000","World","5610","Import Quantity","661","Cocoa, beans","1992","1992","tonnes","1871110","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"TP","Crops and livestock products","5000","World","5610","Import Quantity","661","Cocoa, beans","1993","1993","tonnes","1851330","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"TP","Crops and livestock products","5000","World","5610","Import Quantity","661","Cocoa, beans","1994","1994","tonnes","1881068","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"TP","Crops and livestock products","5000","World","5610","Import Quantity","661","Cocoa, beans","1995","1995","tonnes","1919079","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"TP","Crops and livestock products","5000","World","5610","Import Quantity","661","Cocoa, beans","1996","1996","tonnes","2143960","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"TP","Crops and livestock products","5000","World","5610","Import Quantity","661","Cocoa, beans","1997","1997","tonnes","1972727","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"TP","Crops and livestock products","5000","World","5610","Import Quantity","661","Cocoa, beans","1998","1998","tonnes","2122196","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"TP","Crops and livestock products","5000","World","5610","Import Quantity","661","Cocoa, beans","1999","1999","tonnes","2356142","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"TP","Crops and livestock products","5000","World","5610","Import Quantity","661","Cocoa, beans","2000","2000","tonnes","2455381","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"TP","Crops and livestock products","5000","World","5610","Import Quantity","661","Cocoa, beans","2001","2001","tonnes","2464735","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"TP","Crops and livestock products","5000","World","5610","Import Quantity","661","Cocoa, beans","2002","2002","tonnes","2255916","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"TP","Crops and livestock products","5000","World","5610","Import Quantity","661","Cocoa, beans","2003","2003","tonnes","2694249","A","Aggregate, may include official, semi-official, estimated or calculated data",""
